f0,f1,f2,f3,f4,f5,f6
7.25,1.0,6.9281735,1.8502795,0.6391869,0.10142478,7592.3184
38.07,4.0,3.9895854,-6.5326343,0.39916116,1.9912157,981.709
23.95,2.55,-4.051261,8.290653,0.43176013,0.8358776,646.85706
25.71,4.0,6.2759566,-0.59082025,0.6145277,0.45873535,2220.8232
17.31,3.5,-2.0698853,-3.400891,0.07004219,0.4190708,807.9104
29.93,5.07,7.622064,3.3319154,0.8224067,1.4161935,81.665085
10.65,1.5,1.6254574,-2.3035989,0.65342116,0.3777137,14074.933
12.43,1.8,7.6347075,-6.6712923,0.72634244,1.070955,15522.225
24.08,2.92,3.8506317,-6.7335877,0.536923,0.728414,1653.5258
11.69,2.31,4.5050855,3.4688659,0.11047711,0.66352165,1200.2295
13.42,1.68,0.02648764,-0.7978672,0.40503561,2.3142748,118095.586
14.26,2.5,9.121673,-0.6685078,0.40537357,0.80888367,630.8918
15.95,2.0,2.879804,5.388719,0.32104298,1.753664,652.52277
12.48,2.52,-1.522899,-5.634129,0.029950324,1.293072,2273.2424
29.8,4.2,2.1278644,-3.6533887,0.73725426,0.039320253,20798.662
8.52,1.48,-9.616136,-1.924399,0.10978446,1.4832902,26517.006
14.52,2.0,-3.9685037,0.47175795,0.60630816,0.24445689,653.83484
11.38,2.0,3.2034707,-0.21085726,0.7032175,2.3345883,2031.7698
22.82,2.18,-4.1984477,-1.434436,0.6347863,0.043872677,69.67441
19.08,1.5,2.3603086,-0.30813202,0.95914227,0.40507323,587.60077
20.27,2.83,-1.424626,-0.5365264,0.10329816,0.10506383,204.26521
11.17,1.5,-7.2905188,-3.598022,0.8671672,0.6454798,146.39911
12.26,2.0,-4.0343533,-4.064965,0.029190235,1.714923,31670.896
18.26,3.25,1.3992982,1.3725818,0.5349169,0.3540888,224.84846
8.51,1.25,1.8174552,-4.4545755,0.40424362,0.16361941,378.7166
10.33,2.0,1.486505,-5.786776,0.52418387,0.4008762,2279.4685
14.15,2.0,3.0640163,-1.5614612,0.36509988,1.6813644,14700.702
16.0,2.0,3.0420654,-0.7883351,0.19056691,0.15126945,2870.4678
13.16,2.75,-1.3716313,11.283617,0.019122897,0.25794524,273405.2
17.47,3.5,7.930932,-3.5235014,0.5181498,0.07133701,944.5079
34.3,6.7,-2.6487627,4.716304,0.84277683,1.2231897,1839.8381
41.19,5.0,-1.2827015,3.7359416,0.37321594,0.5029124,1903.0276
27.05,5.0,7.838467,-5.9447246,0.22286382,0.3722818,19343.25
16.43,2.3,6.12388,3.8662648,0.08053201,1.2680719,3024.43
8.35,1.5,4.0777717,-5.919403,0.08531092,0.4094393,869.17163
18.64,1.36,-7.9954624,-13.295861,0.22139645,1.3011127,164.84782
11.87,1.63,8.389652,3.0315976,0.10001406,1.6884779,1788.0607
9.78,1.73,4.284826,-8.779453,0.2650397,0.24546948,18082.314
7.51,2.0,9.97694,2.2546723,0.066149466,3.6427097,482.6233
14.07,2.5,-7.011034,-3.4200544,0.065604866,0.17716442,3158.6096
13.13,2.0,7.362521,8.297754,0.85627615,0.34367537,1794.166
17.26,2.74,-6.750141,5.342547,0.16212027,0.19820133,6167.4414
24.55,2.0,2.3111913,-2.266929,0.5596824,0.42389235,219.31137
19.77,2.0,-7.5236006,-3.439188,0.77345556,0.65404356,119765.875
29.85,5.14,6.9601645,-6.070387,0.45640957,0.7385125,84.9173
48.17,5.0,6.146379,-2.2046132,0.15336888,1.921454,527.8952
25.0,3.75,1.3820148,-1.4017775,0.19959614,2.2022684,7159.426
13.39,2.61,-1.8563341,-1.8234677,0.4329842,0.24859452,1985.183
16.49,2.0,-8.61666,0.78351927,0.52823406,0.975229,5767.375
21.5,3.5,3.9485755,2.8926075,0.3494403,0.118216194,406.58594
12.66,2.5,-0.92914635,1.7482723,0.7814796,0.6142803,944.24915
16.21,2.0,4.441112,-3.8207197,0.7510216,0.38910004,1123.792
13.81,2.0,7.3276467,-7.188957,0.9272118,0.3805297,25298.977
17.51,3.0,9.51043,6.822659,0.028952548,0.65890855,4362.751
24.52,3.48,7.116067,-3.4472458,0.8956913,1.3086951,5395.628
20.76,2.24,-9.765718,-3.261468,0.3925688,0.07169222,294.16705
31.71,4.5,-2.8004386,-2.6059465,0.8783725,2.1133983,7614.1626
10.59,1.61,4.599811,-9.215347,0.69078475,1.327323,1721.8651
10.63,2.0,-6.5674067,-2.38987,0.98734874,0.194191,17646.463
50.81,10.0,0.4207321,-2.398279,0.75928247,2.7995226,61581.72
15.81,3.16,-8.91324,3.1017914,0.36454463,0.705852,593.756
7.25,5.15,-6.0000696,3.4922857,0.50106317,8.56103,486.5763
31.85,3.18,-9.629564,0.018854445,0.37638915,0.21972375,194.78766
16.82,4.0,5.8739543,4.6592417,0.36491182,0.76552045,822.90515
32.9,3.11,-5.5215063,1.6998249,0.2609045,0.34283972,510.7852
17.89,2.0,-3.0929663,-0.07841056,0.4959703,0.362655,2250.7275
14.48,2.0,8.5616255,0.8046408,0.6817399,0.89419997,821.28186
9.6,4.0,4.088288,-0.95326746,0.27734026,2.5474513,532.08405
34.63,3.55,-9.363221,-1.9742476,0.5243798,1.6361097,9220.368
34.65,3.68,-6.7061167,-1.3386676,0.11738029,1.2871422,168.0463
23.33,5.65,2.429568,-5.6400566,0.1598453,0.81910455,2607.6792
45.35,3.5,1.5445718,1.4022086,0.046806354,2.5548809,486.92813
23.17,6.5,-5.2421436,-4.965618,0.97073144,0.6779855,4669.172
40.55,3.0,8.68428,4.208156,0.0038603514,2.0701423,17509.924
20.69,5.0,2.279319,-1.2472929,0.17857997,1.7956569,598.12726
20.9,3.5,0.7126561,0.24747491,0.61286676,0.24058902,2649.3398
30.46,2.0,1.7981995,2.469184,0.0813696,1.4750183,1568.0463
18.15,3.5,4.6024404,3.2165723,0.8818965,0.012245832,221.66234
23.1,4.0,-3.7611,-7.853117,0.71962017,0.38983226,1775.0343
15.69,1.5,-2.0355787,-1.0345184,0.96638995,0.26080316,1955.1868
19.81,4.19,-5.803125,4.4008946,0.50763553,0.7069682,2504.2427
28.44,2.56,-6.2761397,-8.490529,0.30040368,1.3350431,737.4529
15.48,2.02,8.887447,1.9364023,0.5495006,0.102782026,1323.9628
16.58,4.0,4.791016,-11.277822,0.93081874,0.723446,110.47377
7.56,1.44,-0.19082382,-5.112534,0.52076143,2.7872887,535.80585
10.34,2.0,-5.4517074,0.19315276,0.26720703,0.25960857,3333.991
43.11,5.0,-4.9128704,-8.283575,0.8773988,1.13054,6535.132
13.0,2.0,-8.8394165,-4.9275537,0.37191874,0.89864796,471.24133
13.51,2.0,-1.3116674,-7.359175,0.00138335,0.010114677,1352.1188
18.71,4.0,-3.7640824,8.240675,0.24768502,0.64593196,1730.3978
12.74,2.01,3.9268699,0.8211388,0.31823352,1.2336433,1640.834
13.0,2.0,-2.4449632,2.8364513,0.85877746,0.044971667,3234.2334
16.4,2.5,-6.4079266,-1.1133755,0.45850316,2.116284,28.900091
20.53,4.0,-9.506426,-1.7671587,0.4445873,0.7341388,993.61707
16.47,3.23,-8.655007,-8.082371,0.33610228,0.031140933,1768.8187
26.59,3.41,3.5878556,-1.4591868,0.8806781,0.2541359,148.31514
38.73,3.0,-0.9260631,-3.807461,0.94502676,3.0720885,31193.7
24.27,2.03,0.73158425,4.2896194,0.9918903,0.87303907,1514.9209
12.76,2.23,7.933426,5.705509,0.37674126,0.11369803,25004.46
30.06,2.0,9.806779,7.3328934,0.9661474,0.33903784,225.64296
25.89,5.16,-5.6620603,4.2627597,0.7918796,0.6101003,178.64485
48.33,9.0,3.261564,-2.9932697,0.67568916,0.021172635,1717.293
13.27,2.5,-4.7335525,-5.579485,0.24488948,0.53037465,38.191895
28.17,6.5,-9.58698,3.8333158,0.21645726,0.6722836,1685.6915
12.9,1.1,5.167573,1.7814641,0.16604783,0.2792879,1332.0022
28.15,3.0,-3.599657,-8.842692,0.9227566,0.8882841,8360.977
11.59,1.5,-2.330722,1.777409,0.29407665,1.3993396,4456.3384
7.74,1.44,1.7663423,4.072599,0.45309424,0.26897052,475.8227
30.14,3.09,6.6209693,0.29462793,0.49395785,0.96890044,122.12031
12.16,2.2,2.5796368,-0.92526835,0.7781716,1.0206025,33678.348
13.42,3.48,7.453013,-4.0382423,0.84423494,2.9669564,224.92566
8.58,1.92,-4.529159,-7.2326736,0.1390727,1.5063226,135.4972
15.98,3.0,5.9609365,4.0014896,0.42690435,1.8861488,125.24701
13.42,1.58,-6.287281,-1.5455723,0.8428549,0.6741682,10245.672
16.27,2.5,9.055833,-1.1673334,0.8180333,0.20499498,388.46365
10.09,2.0,3.7497656,8.663606,0.10241376,5.4763184,242.88573
20.45,3.0,-5.6898465,3.4225056,0.15638335,0.13852184,1444.2994
13.28,2.72,8.947412,1.854125,0.30419868,0.6376317,724.95575
22.12,2.88,4.617116,0.710309,0.07535907,0.07052236,282.53687
24.01,2.0,-4.9211674,7.599974,0.424663,2.8797438,4954.16
15.69,3.0,-5.7337604,8.597946,0.107617706,3.350265,9233.847
11.61,3.39,0.36401427,4.647526,0.5682176,1.2707862,7868.5967
10.77,1.47,-9.486746,2.911123,0.24655694,0.43077192,5083.9272
15.53,3.0,-5.8505983,-10.473016,0.59643304,0.29354241,2453.4514
10.07,1.25,-1.5062907,0.61860955,0.117525645,0.30829754,31.444498
12.6,1.0,-2.5166004,-0.65053475,0.97588384,0.13615657,30899.695
32.83,1.17,-0.7284915,0.46976614,0.9325612,0.746145,2006.1614
35.83,4.67,-4.447426,4.7152305,0.39179695,0.15293823,3700.8318
29.03,5.92,1.7356869,-13.698386,0.24217859,0.38086617,10197.773
27.18,2.0,7.277112,-2.8465602,0.25039822,0.98539025,19277.715
22.67,2.0,-7.649363,1.3495218,0.48339355,1.3002768,2532.079
17.82,1.75,0.34758213,-2.3342278,0.0399928,0.024572141,2620.4263
18.78,3.0,-7.358638,-7.0845304,0.6397051,0.56232244,330.8124
