id,name,artists
153,Under The Sun,['Black Sabbath']
154,Laguna Sunrise,['Black Sabbath']
155,Flume,['Bon Iver']
156,Four Winds,['The Killers']
157,Spaceman,['The Killers']
158,Don't Give Up,['Noisettes']
159,Party Up,['DMX']
160,Love Story,['Taylor Swift']
161,Do You Love Me,['The Contours']
162,Stop And Stare,['OneRepublic']
163,In The Morning,['Razorlight']
164,My Favourite Game,['The Cardigans']
165,Baby Fratelli,['The Fratellis']
166,In Too Deep,['Sum 41']
167,America's Suitehearts,['Fall Out Boy']
168,Disturbia,['Rihanna']
169,More Than A Woman,['Aaliyah']
170,Tears Dry On Their Own,['Amy Winehouse']
171,Suga Suga,"['Baby Bash', 'Frankie j']"
172,Dangerous,"['Kardinal Offishall', 'Akon']"
173,Take A Bow,['Rihanna']
174,Do You Know? (The Ping Pong Song),['Enrique Iglesias']
175,Lollipop,"['Lil Wayne', 'Static Major']"
176,Handbags & Gladrags,['Rod Stewart']
177,Paper Planes,['M.I.A.']
178,If I Had A Heart,['Fever Ray']
179,I Walk Alone,['Tarja']
180,Poison,['Tarja']
181,All Tomorrow's Parties,"['The Velvet Underground', 'Nico']"
182,Venus In Furs,"['The Velvet Underground', 'Nico']"
183,Turn My Swag On,['Soulja Boy']
184,Innocent Son,['Fleet Foxes']
185,Ruby Tuesday,['The Rolling Stones']
186,Soon We'll Be Found,['Sia']
187,Saturday Night Special,['Lynyrd Skynyrd']
188,Down South Jukin',['Lynyrd Skynyrd']
189,Sweet Home Alabama,['Lynyrd Skynyrd']
190,Jesus Walks,['Kanye West']
191,Hustlin',['Rick Ross']
192,Disturbia,['Rihanna']
193,Keep The Streets Empty For Me,['Fever Ray']
194,If I Had A Heart,['Fever Ray']
195,Sexbomb,"['Tom Jones', 'Mousse T.']"
196,Rehab,['Amy Winehouse']
197,Jump,['Girls Aloud']
198,I Like The Way,['Bodyrockers']
199,Don't Phunk With My Heart,['Black Eyed Peas']
200,Magic Carpet Ride,['Steppenwolf']
201,Feelin' Alright,['Joe Cocker']
202,Renegade,['Styx']
203,Easy Livin',['Uriah Heep']
204,Love Hurts,['Nazareth']
205,The Bleeding,['Five Finger Death Punch']
206,To Lose My Life,['White Lies']
207,The Payback,['James Brown']
208,Papa's Got A Brand New Bag (Part 1),['James Brown']
209,I Got You (I Feel Good),['James Brown']
210,Born To Be Wild,['Steppenwolf']
211,It Feels So Good,['Sonique']
212,Let's Get It Started,['Black Eyed Peas']
213,Cuidar Nuestro Amor,['David Bisbal']
214,Quién Me Iba A Decir,['David Bisbal']
215,Lick It Up,['Kiss']
216,Love Gun,['Kiss']
217,Detroit Rock City,['Kiss']
218,Heaven's On Fire,['Kiss']
219,I Love It Loud,['Kiss']
220,I Was Made For Lovin' You,['Kiss']
221,Hide Your Heart,['Kiss']
222,I Go To Sleep,['Sia']
223,Lullaby,['Sia']
224,Tiny Dancer,['Elton John']
225,Rich Girl,"['Gwen Stefani', 'Eve']"
226,Lovefool,['The Cardigans']
227,The Shoop Shoop Song (It's In His Kiss),['Cher']
228,Big Big World,['Emilia']
229,Linger,['The Cranberries']
230,Poison,['Bell Biv DeVoe']
231,Push The Feeling On,['Nightcrawlers']
232,Tom's Diner,"['Suzanne Vega', 'DNA']"
233,Breakfast At Tiffany's,['Deep Blue Something']
234,Wind Of Change,['Scorpions']
235,You Know I'm No Good,['Amy Winehouse']
236,Back To Black,['Amy Winehouse']
237,No Leaf Clover,['Metallica']
238,The Call Of Ktulu,['Metallica']
239,Master Of Puppets,['Metallica']
240,If I Can't,['50 Cent']
241,In Da Club,['50 Cent']
242,P.I.M.P.,"['50 Cent', 'Snoop Dogg']"
243,P.I.M.P.,['50 Cent']
244,Back Down,['50 Cent']
245,Wanksta,['50 Cent']
246,Many Men (Wish Death),['50 Cent']
247,Go It Alone,['Beck']
248,Heat Dies Down,['Kaiser Chiefs']
249,Try Your Best,['Kaiser Chiefs']
250,Love's Not A Competition (But I'm Winning),['Kaiser Chiefs']
251,The Angry Mob,['Kaiser Chiefs']
252,Ruby,['Kaiser Chiefs']
253,Lookin' For A Reason,['Creedence Clearwater Revival']
254,Luxurious,['Gwen Stefani']
255,Word Up,['Gun']
256,Sunny,['Georgie Fame']
257,The Lady In Red,['Chris De Burgh']
258,What A Wonderful World,['Louis Armstrong']
259,Forever And Ever,['Demis Roussos']
260,I'm Not In Love,['10cc']
261,California Dreamin',['The Mamas & The Papas']
262,Pon De Replay,"['Rihanna', 'Elephant man']"
263,M,['The Cure']
264,A Forest,['The Cure']
265,Play For Today,['The Cure']
266,Window Shopper,['50 Cent']
267,Shake Me,['Cinderella']
268,Heartbreak Station,['Cinderella']
269,Scars,['Papa Roach']
270,You're Not The Only... I Know,['Kingdom Come']
271,I've Been Trying,['Kingdom Come']
272,Do I Belong,['Kingdom Come']
273,Should I,['Kingdom Come']
274,Shot Down,['Kingdom Come']
275,Hands Of Time,['Kingdom Come']
276,You're All I Have,['Snow Patrol']
277,Wait A Minute,"['The Pussycat Dolls', 'Timbaland']"
278,Stranger By The Day,['Shades Apart']
279,Mutt,['blink-182']
280,You Wanted More,['Tonic']
281,London Bridge,['Fergie']
282,Glamorous,"['Fergie', 'Ludacris']"
283,Big Girls Don't Cry (Personal),['Fergie']
284,As Tears Go By,['The Rolling Stones']
285,(I Can't Get No) Satisfaction,['The Rolling Stones']
286,Get Off Of My Cloud,['The Rolling Stones']
287,At Last,['Etta James']
288,Pump It,['Black Eyed Peas']
289,My Style,"['Black Eyed Peas', 'Justin Timberlake']"
290,My Humps,['Black Eyed Peas']
291,Don't Lie,['Black Eyed Peas']
292,Livin' On A Prayer,['Bon Jovi']
293,You Give Love A Bad Name,['Bon Jovi']
294,I'd Die For You,['Bon Jovi']
295,You Know I'm No Good,"['Amy Winehouse', 'Ghostface Killah']"
296,You Know I'm No Good,"['Amy Winehouse', 'Skeewiff']"
297,Fuck Them All,['Mylène Farmer']
298,I Wanna Love You,"['Akon', 'Snoop Dogg']"
299,Can't Get Enough Of You Baby,['Smash Mouth']
300,All Star,['Smash Mouth']
301,Walkin' On The Sun,['Smash Mouth']
302,Analogue (All I Want),['a-ha']
303,I'm A Believer,['Smash Mouth']
304,Then The Morning Comes,['Smash Mouth']
305,I Predict A Riot,['Kaiser Chiefs']
306,Modern Way,['Kaiser Chiefs']
307,Everyday I Love You Less And Less,['Kaiser Chiefs']
308,Welcome 2 Detroit,"['Trick Trick', 'Eminem']"
309,Forgot About Dre,"['Dr. Dre', 'Eminem']"
310,Drop It Like It's Hot,"['Snoop Dogg', 'Pharrell Williams']"
311,99 Problems,['Jay-Z']
312,Locked Up,['Akon']
313,Where The Hood At,['DMX']
314,Get Ur Freak On,['Missy  Elliott']
315,Poppin' Them Thangs,['G-Unit']
316,Pain,['Jimmy Eat World']
317,Give It To Me,"['Timbaland', 'Justin Timberlake', 'Nelly Furtado']"
318,Chasing Cars,['Snow Patrol']
319,Someday,['FlipSyde']
320,No Good Advice,['Girls Aloud']
321,Rikki Don't Lose That Number,['Steely Dan']
322,My Old School,['Steely Dan']
323,Black Friday,['Steely Dan']
324,Bodhisattva,['Steely Dan']
325,Take A Chance On Me,['ABBA']
326,I'm A Marionette,['ABBA']
327,The Name Of The Game,['ABBA']
328,Thank You For The Music,['ABBA']
329,Mas Que Nada,"['Sergio Mendes', 'Black Eyed Peas']"
330,Bathwater,['No Doubt']
331,Ex-Girlfriend,['No Doubt']
332,Landing In London,"['3 Doors Down', 'Bob Seger']"
333,You Give Me Something,['James Morrison']
334,It's Like That,"['Mariah Carey', 'Jermaine Dupri', 'Fatman Scoop']"
335,Believe,['Elton John']
336,Blessed,['Elton John']
337,Little Sister,['Queens of the Stone Age']
338,In My Head,['Queens of the Stone Age']
339,With Or Without You,['U2']
340,I Still Haven't Found What I'm Looking For,['U2']
341,Communication,['The Cardigans']
342,Time To Say Goodbye,['James Last']
343,Un-Break My Heart,['James Last']
344,Somebody Told Me,['The Killers']
345,Damned For All Time / Blood Money,"['Brian Keith', 'Victor Brox', 'Murray Head', '""Jesus Christ Superstar"" Apostles - Original Studio Cast', 'Andrew Lloyd Webber', 'Tim Rice']"
346,What's The Buzz / Strange Thing Mystifying,"['Yvonne Elliman', 'Murray Head', 'Ian Gillan', '""Jesus Christ Superstar"" Apostles - Original Studio Cast', 'Andrew Lloyd Webber', 'Tim Rice']"
347,King Herod's Song (Try It And See),"[""Mike d'Abo"", 'Andrew Lloyd Webber', 'Tim Rice']"
348,Everything's Alright,"['Yvonne Elliman', 'Ian Gillan', 'Murray Head', 'Andrew Lloyd Webber', 'Tim Rice']"
349,The Temple,"['Ian Gillan', 'Alan Doggett', 'Andrew Lloyd Webber', 'Tim Rice']"
350,I Don't Know How To Love Him,"['Yvonne Elliman', 'Andrew Lloyd Webber', 'Tim Rice']"
351,My Place,"['Nelly', 'Jaheim']"
352,Fernando,['ABBA']
353,"Money, Money, Money",['ABBA']
354,Dancing Queen,['ABBA']
355,Happy Hawaii,['ABBA']
356,"Knowing Me, Knowing You",['ABBA']
357,Inside Out,['Bryan Adams']
358,Run To You,['Bryan Adams']
359,Summer Of '69,['Bryan Adams']
360,Please Forgive Me,['Bryan Adams']
361,Nikita,['Elton John']
362,Don't Let Me Be Misunderstood,['Nina Simone']
363,Sorry Seems To Be The Hardest Word,['Elton John']
364,Teach U a Lesson,['Robin Thicke']
365,Lost Without U,['Robin Thicke']
366,Rudolph The Red-Nosed Reindeer,['Ella Fitzgerald']
367,Misere Mani,['Era']
368,Impera,['Era']
369,Ameno,['Era']
370,Mother,['Era']
371,Enae Volare Mezzo,['Era']
372,Mirror,['Era']
373,Everyday,['Buddy Holly']
374,The Adventure,['Angels & Airwaves']
375,Tainted Love/ Where Did Our Love Go,['The Pussycat Dolls']
376,Stickwitu,['The Pussycat Dolls']
377,Buttons,['The Pussycat Dolls']
378,I Don't Need A Man,['The Pussycat Dolls']
379,Sway,['The Pussycat Dolls']
380,Beep,"['The Pussycat Dolls', 'will.i.am']"
381,Dream A Little Dream Of Me,['The Mamas & The Papas']
382,Brothers In Arms,['Dire Straits']
383,What It Is,['Mark Knopfler']
384,Sultans Of Swing,['Dire Straits']
385,Your Latest Trick,['Dire Straits']
386,The Trawlerman's Song,['Mark Knopfler']
387,Walk Of Life,['Dire Straits']
388,Money For Nothing,['Dire Straits']
389,One,['U2']
390,Beautiful Day,['U2']
391,Autumn Serenade,"['John Coltrane', 'Johnny Hartman']"
392,Someday,['FlipSyde']
393,Happy Birthday,"['FlipSyde', 'Piper']"
394,Baby Come Back,['Player']
395,"You're The First, The Last, My Everything",['Barry White']
396,The Phantom Of The Opera,"['Nightwish', 'Andrew Lloyd Webber']"
397,End Of All Hope,['Nightwish']
398,Ever Dream,['Nightwish']
399,Bless The Child,['Nightwish']
400,Gold Digger,"['Kanye West', 'Jamie Foxx']"
401,Mannish Boy,['Muddy Waters']
402,Happy Birthday,"['FlipSyde', 'Piper']"
403,Baila Sexy Thing,['Zucchero']
404,Path,['Apocalyptica']
405,Hope,['Apocalyptica']
406,Some Kind Of Monster,['Metallica']
407,God's Gonna Cut You Down,['Johnny Cash']
408,Ridin',"['Chamillionaire', 'SWAY']"
409,Ridin',"['Chamillionaire', 'Krayzie Bone']"
410,November Rain,"[""Guns N' Roses""]"
411,Don't Cry,"[""Guns N' Roses""]"
412,I Wanna Love You,"['Akon', 'Snoop Dogg']"
413,Struggle Everyday,['Akon']
414,Johnny B. Goode,"['Marty McFly', 'The Starlighters']"
415,Earth Angel (Will You Be Mine?),"['Marvin Berry', 'The Starlighters']"
416,You Know I'm No Good,['Amy Winehouse']
417,Just Lose It,['Eminem']
418,Without Me,['Eminem']
419,The Real Slim Shady,['Eminem']
420,Mockingbird,['Eminem']
421,Lose Yourself,['Eminem']
422,Stan,"['Eminem', 'Dido']"
423,Shake That,"['Eminem', 'Nate Dogg']"
424,FACK,['Eminem']
425,Guilty Conscience,"['Eminem', 'Dr. Dre']"
426,When I'm Gone,['Eminem']
427,My Name Is,['Eminem']
428,Sing For The Moment,['Eminem']
429,The Way I Am,['Eminem']
430,Like Toy Soldiers,['Eminem']
431,Shout,['Lulu And The Luvvers']
432,Perfect Strangers,['Deep Purple']
433,Outta Control,['50 Cent']
434,Heat Of The Night,['Bryan Adams']
435,Heaven,['Bryan Adams']
436,Here I Am,['Bryan Adams']
437,Somebody,['Bryan Adams']
438,Don't Worry,['Appleton']
439,Master Of Puppets,['Metallica']
440,Disposable Heroes,['Metallica']
441,Welcome Home (Sanitarium),['Metallica']
442,Just One,['Hoobastank']
443,Boom,['Bloodhound Gang']
444,Shut Up,['Bloodhound Gang']
445,Fire Water Burn,['Bloodhound Gang']
446,Kiss Me Where It Smells Funny,['Bloodhound Gang']
447,Candy Shop,"['50 Cent', 'Olivia']"
448,Candy Shop,['50 Cent']
449,Disco Inferno,['50 Cent']
450,Bliss,['Muse']
451,The Lost Art Of Keeping A Secret,['Queens of the Stone Age']
452,I'm Still Standing,['Elton John']
453,Sacrifice,['Elton John']
454,Picture Of You,['Boyzone']
455,People Need Love,['ABBA']
456,Santa Maria (Del Buen Ayre),['Gotan Project']
457,Give Me One Good Reason,['blink-182']
458,The Rock Show,['blink-182']
459,Anthem Part Two,['blink-182']
460,Stay Together For The Kids,['blink-182']
461,Online Songs,['blink-182']
462,First Date,['blink-182']
463,Every Time I Look For You,['blink-182']
464,Tainted Love,['Marilyn Manson']
465,Use Your Fist And Not Your Mouth,['Marilyn Manson']
466,Apple Tree,['Wolfmother']
467,Joker & the Thief,['Wolfmother']
468,Pyramid,['Wolfmother']
469,Love Train,['Wolfmother']
470,Dimension,['Wolfmother']
471,mOBSCENE,['Marilyn Manson']
472,This Is the New Shit,['Marilyn Manson']
473,Rudiger,['Mark Knopfler']
474,Tom's Diner,"['DNA', 'Suzanne Vega', 'Nick Batt', 'Neal Slateford']"
475,Cool,['Gwen Stefani']
476,Crash,['Gwen Stefani']
477,Bubble Pop Electric,"['Gwen Stefani', 'Johnny Vulture']"
478,What You Waiting For?,['Gwen Stefani']
479,Danger Zone,['Gwen Stefani']
480,Hollaback Girl,['Gwen Stefani']
481,Take Five,"['Marian McPartland', 'Dave Brubeck']"
482,Ali D'Oro,"['Zucchero', 'John Lee Hooker']"
483,Baila Morena,['Zucchero']
484,Music Of The Sun,['Rihanna']
485,Pon de Replay,['Rihanna']
486,Wind It Up,['Gwen Stefani']
487,Down On My Knees,['AYO']
488,One,['Metallica']
489,No Hard Feelings,['Bloodhound Gang']
490,Crazy Rap (Colt 45 & 2 Zig Zags),['Afroman']
491,Because I Got High,['Afroman']
492,Go Down Moses,"['Louis Armstrong', 'Sy Oliver Choir', 'The All Stars']"
493,Down By The Riverside,"['Louis Armstrong', 'Sy Oliver Choir', 'The All Stars']"
494,Paganini Rhapsody (On Caprice 24),"['David Garrett', 'Niccolò Paganini']"
495,Ghetto Gospel,['2Pac']
496,Born On The Bayou,['Creedence Clearwater Revival']
497,Centerfield,['John Fogerty']
498,The Old Man Down The Road,['John Fogerty']
499,Deja Vu (All Over Again),['John Fogerty']
500,Rockin' All Over The World,['John Fogerty']
501,Under Fire,['Kosheen']
502,Overkill,['Kosheen']
503,Not Enough Love,['Kosheen']
504,Smack That,"['Akon', 'Eminem']"
505,Dumpin',"['2Pac', 'Hussein Fatal', 'Papoose', 'Carl Thomas']"
506,Soon As I Get Home,"['2Pac', 'Yaki Kadafi']"
507,Be Yourself,['Audioslave']
508,Ass Like That,['Eminem']
509,In The Wee Small Hours Of The Morning,['Gerry Mulligan Sextet']
510,Spiel Mit Mir,['Rammstein']
511,Eifersucht,['Rammstein']
512,Du Hast,['Rammstein']
513,Sehnsucht,['Rammstein']
514,Bück Dich,['Rammstein']
515,Klavier,['Rammstein']
516,Tier,['Rammstein']
517,Bestrafe Mich,['Rammstein']
518,Desafinado,"['Stan Getz', 'Charlie Byrd']"
519,Erase / Rewind,['The Cardigans']
520,"Honey, Honey",['ABBA']
521,Waterloo,['ABBA']
522,Hasta Manana,['ABBA']
523,Appassionata,['Secret Garden']
524,Home,['Secret Garden']
525,Poéme,['Secret Garden']
526,First Day Of Spring,['Secret Garden']
527,Sanctuary,['Secret Garden']
528,The Hand That Feeds,['Nine Inch Nails']
529,One Shot 2 Shot,"['Eminem', 'D12']"
530,Puke,['Eminem']
531,Yellow Brick Road,['Eminem']
532,Never Enough,"['Eminem', '50 Cent', 'Nate Dogg']"
533,Missing You,['Chris De Burgh']
534,Hate Me,['Blue October']
535,Hate Me,['Blue October']
536,Dilemma,"['Nelly', 'Kelly Rowland']"
537,Maneater,['Nelly Furtado']
538,Mas Que Nada,"['Sergio Mendes', 'Black Eyed Peas']"
539,Runaway,['Bon Jovi']
540,Night Rhythms,['Lee Ritenour']
541,Moonlight And Vodka,['Chris De Burgh']
542,Shout It Out,['Kingdom Come']
543,17,['Kingdom Come']
544,Now Forever After,['Kingdom Come']
545,Living Out Of Touch,['Kingdom Come']
546,What Love Can Be,['Kingdom Come']
547,Der Meister,['Rammstein']
548,Asche zu Asche,['Rammstein']
549,Laichzeit,['Rammstein']
550,Du Riechst So Gut,['Rammstein']
551,Heirate Mich,['Rammstein']
552,Rammstein,['Rammstein']
553,Seemann,['Rammstein']
554,Feeling Good,['Nina Simone']
555,Love Me Or Leave Me,['Nina Simone']
556,All These Things That I've Done,['The Killers']
557,Personal Jesus,['Marilyn Manson']
558,Weekends,"['Black Eyed Peas', 'Esthero']"
559,White Room,['Cream']
560,Sunshine Of Your Love,['Cream']
561,Doing That Scrapyard Thing,['Cream']
562,Frontin',['Chamillionaire']
563,Honey Do,['John Fogerty']
564,Wicked Old Witch,['John Fogerty']
565,Atlantis To Interzone,['Klaxons']
566,Golden Skans,['Klaxons']
567,Magick,['Klaxons']
568,Venus As A Boy,['Björk']
569,The Girl In The Other Room,['Diana Krall']
570,Baba O'Riley,"['The Who', 'Jon Astley', 'Andy Macpherson']"
571,Who Are You,['The Who']
572,"Hello, Dolly!",['Louis Armstrong']
573,C'est si bon (It's So Good),"['Louis Armstrong', 'His All-Stars', 'Sy Oliver', 'Louis Armstrong With Sy Oliver’s Orchestra']"
574,La vie en rose,"['Louis Armstrong', 'His All-Stars']"
575,Kiss Of Fire,"['Louis Armstrong', 'His All-Stars']"
576,Head Over Heels,['ABBA']
577,Mamma Mia,['ABBA']
578,Summer Night City,['ABBA']
579,Does Your Mother Know,['ABBA']
580,I Have A Dream,['ABBA']
581,Gimme! Gimme! Gimme! (A Man After Midnight),['ABBA']
582,The Winner Takes It All,['ABBA']
583,Lay All Your Love On Me,['ABBA']
584,"I Do, I Do, I Do, I Do, I Do",['ABBA']
585,One Of Us,['ABBA']
586,On And On And On,['ABBA']
587,Voulez-Vous,['ABBA']
588,SOS,['ABBA']
589,Chiquitita,['ABBA']
590,The Day Before You Came,['ABBA']
591,Super Trouper,['ABBA']
592,The Last Waltz,['Engelbert Humperdinck']
593,Have I Told You Lately,"['Engelbert Humperdinck', 'James Last']"
594,Can't Take My Eyes Off You,['Engelbert Humperdinck']
595,Life,"['E-Type', 'Nana']"
596,Sinnerman,['Nina Simone']
597,Lit De Parade,"['Army Of Lovers', 'Anders Hansson']"
598,Obsession,['Army Of Lovers']
599,Crucified,['Army Of Lovers']
600,La Plage De Saint Tropez,['Army Of Lovers']
601,Israelism,['Army Of Lovers']
602,Sexual Revolution,"['Army Of Lovers', 'Martin Max', 'Denniz Pop']"
603,Just Like Heaven,['The Cure']
604,Round & Round,['Bodyrockers']
605,Drilled A Wire Through My Cheek,['Blue October']
606,Hate Me,['Blue October']
607,You Make Me Smile,['Blue October']
608,Lonely,['Akon']
609,Bananza (Belly Dancer),['Akon']
610,Close To Me,['The Cure']
611,In Between Days,['The Cure']
612,London Bridge,['Fergie']
613,Angel,['Aerosmith']
614,Rag Doll,['Aerosmith']
615,Unfaithful,['Rihanna']
616,Three Imaginary Boys,['The Cure']
617,Fire In Cairo,['The Cure']
618,J'ai vu,['Niagara']
619,Pendant que les champs brûlent,['Niagara']
620,La vie est peut-être belle,['Niagara']
621,Assez,['Niagara']
622,L'amour à la plage,['Niagara']
623,Quand la ville dort,['Niagara']
624,Flammes de l'enfer,['Niagara']
625,Soleil d'hiver,['Niagara']
626,I Love My Bitch,"['Busta Rhymes', 'will.i.am', 'Kelis']"
627,Susan,['The Exit']
628,The Midnight Special,['Creedence Clearwater Revival']
629,A Place Where We Used To Live,['Mark Knopfler']
630,Every Breath You Take,['The Police']
631,I Miss You,['blink-182']
632,Dammit,['blink-182']
633,All The Small Things,['blink-182']
634,Adam's Song,['blink-182']
635,What's My Age Again?,['blink-182']
636,M+M's,['blink-182']
637,Souljacker Part I,['Eels']
638,Got The Time,['Anthrax']
639,The Shadow Of Your Smile,['Engelbert Humperdinck']
640,Have A Nice Day,['Bon Jovi']
